20.08.2020;18:47:16  bllac 330.816667 42.328611
20.08.2020;19:45:38  q1633 249.041667 38.101667
20.08.2020;19:51:47  bllac 330.850000 42.328889
21.08.2020;18:39:49  bllac 330.787500 42.340556
21.08.2020;19:08:24  h1722 261.495833 11.850278
21.08.2020;20:02:40  ot081 268.116667 9.646667
21.08.2020;20:36:54  bllac 330.829167 42.321667
21.08.2020;21:24:19  cta102 338.370833 11.825000
21.08.2020;22:06:08  bllac 330.825000 42.333889
21.08.2020;23:51:42  3c454 343.729167 16.211111
22.08.2020;00:26:20  3c66a 35.900000 43.108889
22.08.2020;00:58:42  s50716 110.741667 71.216944
24.08.2020;18:40:41  pg1553 239.225000 11.180000
24.08.2020;19:04:40  h1722 261.554167 11.902222
24.08.2020;19:42:39  bllac 330.845833 42.383611
24.08.2020;20:39:48  s50716 110.733333 71.292500
24.08.2020;21:12:29  mkn501 253.654167 39.749167
24.08.2020;21:33:36  bllac 330.887500 42.395833
24.08.2020;22:15:59  3c454 343.766667 16.238611
24.08.2020;22:51:51  bllac 330.883333 42.377778
26.08.2020;21:11:36  bllac 330.862500 42.369167
26.08.2020;21:43:22  bllac 330.862500 42.363056
26.08.2020;22:06:25  j2103 316.054167 45.812222
26.08.2020;22:19:24  bllac 330.866667 42.360833
26.08.2020;23:11:35  s50716 110.750000 71.256389
26.08.2020;23:31:25  bllac 330.875000 42.369444
01.09.2020;18:16:51  h1722 261.550000 11.890833
01.09.2020;18:56:38  bllac 330.858333 42.377500
01.09.2020;19:33:13  ot081 268.166667 9.666389
01.09.2020;20:22:57  cta102 338.408333 11.834722
01.09.2020;21:02:36  bllac 330.875000 42.371667
01.09.2020;21:18:29  3c454 343.762500 16.240278
01.09.2020;21:52:44  3c66a 35.987500 43.161944
01.09.2020;22:24:30  bllac 330.891667 42.380833
01.09.2020;22:37:43  s40954 149.891667 65.495000
01.09.2020;23:22:32  4u0115 19.925000 63.818333
01.09.2020;23:49:18  bllac 330.883333 42.378333
02.09.2020;00:03:25  q1959 299.945833 65.196389
02.09.2020;00:38:28  s50716 110.816667 71.248889
02.09.2020;01:05:54  bllac 330.879167 42.379722
02.09.2020;01:19:07  3c84 50.291667 41.586944
02.09.2020;19:35:09  bllac 330.854167 42.356389
02.09.2020;20:41:55  s50716 110.729167 71.264722
02.09.2020;21:33:27  s40954 149.825000 65.453889
02.09.2020;21:38:36  3c84 50.262500 41.588333
02.09.2020;22:13:11  4u0115 19.920833 63.815000
02.09.2020;23:04:12  q1959 299.900000 65.186389
03.09.2020;00:23:05  bllac 330.879167 42.360000
03.09.2020;00:41:30  j2103 316.058333 45.831389
03.09.2020;00:52:41  3c66a 35.991667 43.124444
03.09.2020;01:23:38  cicam 65.291667 56.034167
03.09.2020;01:43:31  bllac 330.870833 42.374722
04.09.2020;18:28:02  bllac 328.879167 42.377500
04.09.2020;20:12:56  j2103 314.129167 45.856111
04.09.2020;20:39:50  bllac 328.900000 42.358056
04.09.2020;22:49:51  4u0115 18.020833 63.800556
05.09.2020;18:43:49  bllac 330.891667 42.376667
06.09.2020;17:47:07  bllac 330.837500 42.375556
06.09.2020;19:03:57  s50716 110.745833 71.279722
06.09.2020;19:28:53  bllac 330.891667 42.379444
06.09.2020;21:33:10  q1959 299.916667 65.179167
06.09.2020;21:59:09  bllac 330.875000 42.381111
07.09.2020;22:48:08  bllac 330.870833 42.375278
08.09.2020;00:18:11  s50716 110.775000 71.237500
08.09.2020;00:56:29  bllac 330.879167 42.379722
11.09.2020;18:48:56  bllac 330.829167 42.375556
11.09.2020;20:40:22  j2103 316.070833 45.869722
11.09.2020;21:00:44  bllac 330.833333 42.369167
11.09.2020;22:15:40  cta102 338.400000 11.858333
11.09.2020;22:54:55  s50716 110.741667 71.245278
11.09.2020;23:24:40  bllac 330.850000 42.380278
13.09.2020;19:28:54  bllac 330.875000 42.377222
14.09.2020;18:18:23  bllac 330.837500 42.376944
14.09.2020;18:57:51  j2103 316.045833 45.817222
14.09.2020;19:49:17  s50716 110.729167 71.276111
14.09.2020;20:53:07  s41030 158.616667 60.746667
14.09.2020;21:21:15  bllac 330.866667 42.353333
14.09.2020;21:31:55  cta102 338.391667 11.838056
14.09.2020;22:47:17  4u0115 19.975000 63.795278
14.09.2020;23:15:15  bllac 330.866667 42.364444
14.09.2020;23:27:45  s40954 149.841667 65.449444
15.09.2020;00:11:49  q1959 299.862500 65.171111
15.09.2020;00:40:52  ao0235 39.937500 16.711389
15.09.2020;01:12:42  bllac 330.858333 42.378333
15.09.2020;01:23:54  3c66a 35.983333 43.125556
15.09.2020;01:53:59  3c84 50.287500 41.571389
15.09.2020;18:20:28  bllac 330.850000 42.360278
15.09.2020;18:49:23  hbc722 314.750000 43.947778
15.09.2020;19:30:36  v1057 314.870833 44.353056
15.09.2020;19:45:25  bllac 330.875000 42.363333
15.09.2020;19:58:02  3c454 343.754167 16.253333
15.09.2020;20:33:42  3c66a 35.958333 43.144167
15.09.2020;21:51:27  bllac 330.895833 42.379167
15.09.2020;23:00:30  s50716 110.754167 71.245556
18.09.2020;19:18:34  bllac 330.833333 42.372500
18.09.2020;22:19:49  q1959 299.904167 65.119167
18.09.2020;23:25:10  j2103 316.087500 45.853889
19.09.2020;00:07:35  bllac 330.858333 42.379722
19.09.2020;00:55:51  cicam 65.254167 56.008889
19.09.2020;01:17:07  s50716 110.791667 71.223611
19.09.2020;01:55:09  q0836 130.550000 70.743611
19.09.2020;17:36:14  bllac 330.841667 42.377222
19.09.2020;18:41:17  q1959 299.941667 65.173333
19.09.2020;19:41:13  bllac 330.875000 42.376111
19.09.2020;20:09:22  s50716 110.745833 71.259444
19.09.2020;20:42:08  s40954 149.837500 65.477222
19.09.2020;21:14:20  bllac 330.895833 42.383889
19.09.2020;22:02:23  3c454 343.775000 16.273889
19.09.2020;22:40:57  bllac 330.895833 42.380833
19.09.2020;23:07:25  4u0115 19.945833 63.832222
19.09.2020;23:41:35  bllac 330.879167 42.378611
20.09.2020;00:15:10  3c66a 35.987500 43.150000
20.09.2020;00:49:20  bllac 330.891667 42.379167
20.09.2020;01:31:28  q0836 130.633333 70.798333
22.09.2020;21:07:59  bllac 330.862500 42.364444
22.09.2020;21:44:34  cta102 338.404167 11.843611
23.09.2020;17:52:26  bllac 330.825000 42.376389
23.09.2020;18:12:59  h1722 261.545833 11.902500
23.09.2020;18:43:21  bllac 330.858333 42.379167
23.09.2020;19:10:44  q1633 249.083333 38.144167
23.09.2020;19:44:36  bllac 330.900000 42.383056
23.09.2020;20:29:14  j2103 316.079167 45.865000
23.09.2020;20:58:16  bllac 330.887500 42.381667
23.09.2020;21:34:54  3c454 343.775000 16.260000
23.09.2020;22:03:23  bllac 330.879167 42.375833
23.09.2020;23:05:09  s50716 110.758333 71.268333
23.09.2020;23:32:01  bllac 330.883333 42.393333
24.09.2020;00:01:01  3c66a 35.975000 43.139167
24.09.2020;00:38:44  bllac 330.895833 42.394722
24.09.2020;01:03:26  s40954 149.862500 65.469444
24.09.2020;01:43:16  bllac 330.891667 42.406944
24.09.2020;18:14:40  pg1553 239.208333 11.176944
24.09.2020;18:49:37  bllac 330.866667 42.374722
24.09.2020;19:08:29  h1722 261.541667 11.906111
24.09.2020;19:47:36  bllac 330.866667 42.380000
24.09.2020;20:00:04  ot081 268.137500 9.685278
24.09.2020;20:31:20  bllac 330.866667 42.382778
24.09.2020;20:47:37  cta102 338.404167 11.863333
24.09.2020;21:22:53  bllac 330.870833 42.375556
24.09.2020;21:35:47  3c454 343.762500 16.258056
24.09.2020;22:27:12  j2103 316.070833 45.826944
24.09.2020;22:45:43  bllac 330.866667 42.378611
24.09.2020;23:03:30  3c371 271.425000 69.785556
24.09.2020;23:32:51  bllac 330.866667 42.363056
25.09.2020;00:00:19  s41030 158.629167 60.741944
25.09.2020;00:20:01  bllac 330.870833 42.391389
25.09.2020;00:32:39  pvcep 311.350000 68.023611
25.09.2020;00:56:06  bllac 330.866667 42.379722
25.09.2020;01:07:32  q1959 299.862500 65.196389
25.09.2020;01:27:52  bllac 330.870833 42.378889
25.09.2020;01:38:46  cicam 65.345833 55.987500
25.09.2020;01:52:04  bllac 330.854167 42.375556
25.09.2020;02:04:27  3c66a 36.000000 43.123889
25.09.2020;02:28:14  s50716 110.820833 71.217222
25.09.2020;17:17:26  bllac 330.841667 42.374722
25.09.2020;17:48:15  mkn501 253.650000 39.727778
25.09.2020;18:31:07  bllac 330.858333 42.376111
25.09.2020;19:02:40  q1611 243.704167 34.196944
25.09.2020;19:24:39  3c345 250.920833 39.811667
25.09.2020;20:03:12  bllac 330.875000 42.376111
25.09.2020;20:32:33  cta102 338.420833 11.874722
25.09.2020;21:47:55  bllac 330.879167 42.383333
25.09.2020;22:17:34  j2103 316.100000 45.888611
25.09.2020;22:40:33  hbc722 314.800000 43.964444
25.09.2020;23:32:11  bllac 330.879167 42.380278
26.09.2020;00:01:05  ao0235 39.966667 16.743333
26.09.2020;00:57:50  bllac 330.887500 42.391389
26.09.2020;01:31:51  pks0420 66.170833 -1.273889
26.09.2020;01:54:24  s50716 110.845833 71.239722
26.09.2020;02:32:36  bllac 330.866667 42.398889
26.09.2020;17:14:52  bllac 330.820833 42.358333
26.09.2020;18:09:23  q1739 265.266667 52.186389
26.09.2020;18:18:59  bllac 330.854167 42.378333
26.09.2020;18:45:32  q1959 299.945833 65.155833
26.09.2020;19:39:48  bllac 330.870833 42.376389
26.09.2020;20:18:47  3c454 343.758333 16.261667
26.09.2020;20:48:47  bllac 330.870833 42.375000
26.09.2020;21:34:49  3c66a 35.945833 43.138611
26.09.2020;22:04:36  bllac 330.895833 42.380278
26.09.2020;22:46:03  s50716 110.795833 71.262500
26.09.2020;23:27:17  bllac 330.900000 42.379444
27.09.2020;00:31:06  4u0115 19.954167 63.815000
27.09.2020;01:03:04  bllac 330.879167 42.379167
27.09.2020;01:34:46  s40954 149.908333 65.451111
27.09.2020;02:09:30  bllac 330.887500 42.400556
27.09.2020;16:51:35  bllac 330.854167 42.374722
27.09.2020;17:38:27  h1722 261.529167 11.903611
27.09.2020;18:16:01  bllac 330.875000 42.377778
27.09.2020;18:36:39  mkn501 253.637500 39.733333
27.09.2020;19:12:19  bllac 330.866667 42.376944
27.09.2020;19:43:39  3c454 343.741667 16.251667
27.09.2020;20:14:37  bllac 330.895833 42.388889
27.09.2020;20:52:52  cta102 338.412500 11.856944
27.09.2020;21:36:13  bllac 330.870833 42.395833
27.09.2020;22:06:21  4u0115 19.966667 63.816944
27.09.2020;22:37:14  bllac 330.895833 42.378611
27.09.2020;23:08:20  3c66a 36.000000 43.122500
27.09.2020;23:32:18  bllac 330.895833 42.379722
27.09.2020;23:58:07  3c84 333.358333 41.923611
28.09.2020;00:00:47  3c84 50.295833 41.587222
28.09.2020;00:16:38  bllac 330.891667 42.398333
28.09.2020;00:47:13  s50716 110.808333 71.238889
28.09.2020;01:15:59  bllac 330.879167 42.384444
28.09.2020;01:47:08  s40954 149.891667 65.432500
28.09.2020;02:18:04  bllac 330.854167 42.406111
29.09.2020;23:18:46  bllac 330.870833 42.422500
29.09.2020;23:59:27  s50716 110.879167 71.251111
30.09.2020;17:01:00  bllac 330.820833 42.377222
30.09.2020;17:45:21  3c345 250.908333 39.795833
30.09.2020;18:42:16  bllac 330.854167 42.377222
30.09.2020;19:09:57  bllac 330.862500 42.375278
30.09.2020;19:22:15  j2103 316.062500 45.870000
30.09.2020;19:44:48  bllac 330.841667 42.374444
30.09.2020;20:26:32  v1057 314.900000 44.370833
30.09.2020;20:40:45  bllac 330.850000 42.380278
30.09.2020;21:42:09  hbc722 314.787500 43.974722
30.09.2020;23:07:24  bllac 330.895833 42.378889
30.09.2020;23:50:09  4u0115 19.945833 63.824722
01.10.2020;00:11:21  bllac 330.895833 42.380000
01.10.2020;00:25:41  cicam 65.291667 56.008056
01.10.2020;00:40:52  bllac 330.870833 42.380000
01.10.2020;00:59:18  s50716 110.808333 71.241667
01.10.2020;01:27:26  bllac 330.866667 42.402778
01.10.2020;02:07:12  3c84 50.300000 41.589167
01.10.2020;02:24:01  bllac 330.850000 42.385556
01.10.2020;02:35:41  oj287 134.004167 20.029167
01.10.2020;02:50:57  bllac 330.891667 42.376111
01.10.2020;17:20:01  bllac 330.829167 42.376944
01.10.2020;17:56:10  ot081 268.162500 9.686389
01.10.2020;18:27:24  bllac 330.845833 42.375556
01.10.2020;18:39:37  mkn501 253.629167 39.728889
01.10.2020;19:15:54  bllac 330.858333 42.374722
01.10.2020;19:34:57  3c345 250.908333 39.800000
01.10.2020;20:00:09  q1633 280.595833 42.347222
01.10.2020;20:02:40  3c345 250.916667 39.791111
01.10.2020;20:07:16  bllac 330.870833 42.373889
01.10.2020;20:21:50  cta102 338.408333 11.864722
01.10.2020;20:24:59  j2103 316.075000 45.831944
01.10.2020;20:43:18  bllac 330.866667 42.373056
